 INFO  Accepting connections at http://localhost:3000
 HTTP  19/3/2026 8:21:56 pm ::1 GET /asset/cheque.png
 HTTP  19/3/2026 8:21:56 pm ::1 GET /assets/blog/vibe-coding.png
 HTTP  19/3/2026 8:21:56 pm ::1 GET /assets/blog/ai-agriculture.png
 HTTP  19/3/2026 8:21:56 pm ::1 GET /assets/blog/interactive-web.png
 HTTP  19/3/2026 8:21:56 pm ::1 Returned 304 in 4 ms
 HTTP  19/3/2026 8:21:56 pm ::1 Returned 304 in 5 ms
 HTTP  19/3/2026 8:21:56 pm ::1 Returned 304 in 5 ms
 HTTP  19/3/2026 8:21:56 pm ::1 Returned 304 in 6 ms
 HTTP  19/3/2026 8:24:50 pm ::1 GET /
 HTTP  19/3/2026 8:24:50 pm ::1 Returned 304 in 11 ms
 HTTP  19/3/2026 8:24:50 pm ::1 GET /css/style.css
 HTTP  19/3/2026 8:24:50 pm ::1 Returned 304 in 2 ms
 HTTP  19/3/2026 8:24:50 pm ::1 GET /asset/Book%20Front.jpg
 HTTP  19/3/2026 8:24:50 pm ::1 GET /asset/Book%20Back.jpg
 HTTP  19/3/2026 8:24:50 pm ::1 GET /js/data.js
 HTTP  19/3/2026 8:24:50 pm ::1 Returned 304 in 4 ms
 HTTP  19/3/2026 8:24:50 pm ::1 Returned 304 in 4 ms
 HTTP  19/3/2026 8:24:50 pm ::1 GET /js/app.js
 HTTP  19/3/2026 8:24:50 pm ::1 Returned 304 in 6 ms
 HTTP  19/3/2026 8:24:50 pm ::1 Returned 304 in 5 ms
 HTTP  19/3/2026 8:24:50 pm ::1 GET /asset/CRM.png
 HTTP  19/3/2026 8:24:50 pm ::1 GET /asset/cheque.png
 HTTP  19/3/2026 8:24:50 pm ::1 GET /assets/blog/vibe-coding.png
 HTTP  19/3/2026 8:24:50 pm ::1 GET /assets/blog/ai-agriculture.png
 HTTP  19/3/2026 8:24:50 pm ::1 Returned 304 in 4 ms
 HTTP  19/3/2026 8:24:50 pm ::1 Returned 304 in 5 ms
 HTTP  19/3/2026 8:24:50 pm ::1 Returned 304 in 5 ms
 HTTP  19/3/2026 8:24:50 pm ::1 GET /assets/blog/interactive-web.png
 HTTP  19/3/2026 8:24:50 pm ::1 Returned 304 in 14 ms
 HTTP  19/3/2026 8:24:50 pm ::1 Returned 304 in 3 ms
 HTTP  19/3/2026 8:25:22 pm ::1 GET /
 HTTP  19/3/2026 8:25:22 pm ::1 Returned 304 in 2 ms
